,company_name,reuters_address,description,industry,leadership
212,FRASERS CENTREPOINT TRUST,https://www.reuters.com/companies/FCRT.SI,"Frasers Centrepoint Trust is a Singapore-based retail real estate investment trust (REIT). The principal activity of the Company is to invest in various properties used primarily for retail purposes, in Singapore and overseas. Its property portfolio comprises approximately nine retail malls and an office building located in the suburban regions of Singapore. The retail portfolio has approximately 2.3 million square feet of net lettable area with over 1,500 leases with focus on providing for necessity spending, food and beverage and essential services. The portfolio comprises of Causeway Point, Northpoint City North Wing (including Yishun 10 Retail Podium), Changi City Point, Waterway Point, Tiong Bahru Plaza, White Sands, Hougang Mall, Century Square and Tampines 1 and an office property, Central Plaza. Frasers Centrepoint Asset Management Ltd is the manager of the Company.",Real Estate Operations,"{""Choong Kong Cheong"": ""Non-Executive Independent Chairman of the Board"", ""Richard Ng"": ""Chief Executive Officer"", ""Hwee Pio Tay"": ""Chief Financial Officer"", ""Fung Leng Chen"": ""Vice President of Investor Relations"", ""Pauline Lim"": ""Head, Investment & Asset Management""}"
213,FRASERS HOSPITALITY TRUST,https://www.reuters.com/companies/FRHO.SI,"Frasers Hospitality Trust (FHT) is a hotel and serviced residence trust. The Company focuses on investing globally (except Thailand) on a long-term basis, directly or indirectly, in a diversified portfolio of income-producing real estate and real estate-related assets used primarily for hospitality purposes. Its segments include Singapore, Australia, Malaysia, Japan, UK and Germany. The Company's portfolio includes 15 properties: nine hotels and six serviced residences. Its portfolio includes over 3,910 rooms. Its properties are located across Asia, Australia and Europe in prime locations of cities, such as Melbourne, Sydney, Singapore, Edinburgh, Glasgow, London, Kobe, Kuala Lumpur and Dresden. FHT consists of Frasers Hospitality Real Estate Investment Trust (FH-REIT) and Frasers Hospitality Business Trust (FH-BT).",Real Estate Operations,"{""Song Keng Law"": ""Non-Executive Independent Chairman of the Board"", ""Chin Fen Eu"": ""Chief Executive Officer"", ""Eric Gan"": ""Chief Financial Officer"", ""Say Boon Leong"": ""Senior Vice President, Head of Investment"", ""Wai Quan Lim"": ""Vice President - Finance""}"
214,FRASERS LOGISTICS & COMMERCIAL TRUST,https://www.reuters.com/companies/FRAEol.SI,"Frasers Logistics & Commercial Trust (the Trust), formerly Frasers Logistics & Industrial Trust, is a Singapore-based real estate investment trust. The Trust is focused on investing in a portfolio of industrial and commercial properties. The Trust’s investment strategy is to invest in a diversified portfolio of properties used predominantly for logistics or industrial purposes located globally, or commercial purposes or business park purposes located in the Asia-Pacific region or in Europe. Its portfolio comprises of approximately 99 industrial and commercial properties across Australia, Germany, Singapore, United Kingdom and the Netherlands. The Trust's manager is Frasers Logistics & Commercial Asset Management Pte. Ltd.",Real Estate Operations,"{""Hong Cheong Ho"": ""Independent Non-Executive Chairman of the Board"", ""Robert Stuart Claude Wallace"": ""Chief Executive Officer"", ""Mui Sim Cher"": ""Chief Financial Officer"", ""Mei Ling Wang"": ""Vice President of Investor Relations"", ""Shyang Lee Khung"": ""Financial Controller""}"
215,FRASERS PROPERTY LIMITED,https://www.reuters.com/companies/FRPL.SI,"Frasers Property Limited, formerly Frasers Centrepoint Limited, is a Singapore-based investment holding company. The Company is a real estate company, which invests in, develops and manages properties through its strategic business units (SBUs). Its segments include Singapore SBU, Australia SBU, Hospitality SBU, International Business, and Corporate and Others. The Singapore SBU integrates the Singapore residential and commercial properties development and operations. The Australia SBU includes non-real estate investment trust (REIT) entities and Frasers Logistics and Industrial Trust (FLT), and the development, ownership and operation of residential, commercial and industrial properties in Australia and New Zealand. The Hospitality SBU includes its hospitality operations and the ownership/operation of hotels and serviced apartments held by Frasers Hospitality Trust (FHT) and non-REIT entities. The International Business includes development and commercial operations.",Construction Services,"{""Charoen Sirivadhanabhakdi"": ""Non-Executive Non-Independent Chairman of the Board"", ""Panote Sirivadhanabhakdi"": ""Group Chief Executive Officer, Executive Director and Non-Independent Director"", ""Khunying Wanna Sirivadhanabhakdi"": ""Non-Executive and Non-Independent Vice Chairman"", ""Choo Leong Loo"": ""Group Chief Financial Officer"", ""Anthony Boyd"": ""Chief Executive Officer - Frasers Property Australia""}"
216,FRENCKEN GROUP LIMITED,https://www.reuters.com/companies/FREN.SI,"Frencken Group Limited is a Singapore-based investment holding company. The Company is a capital equipment, automotive and consumer product solution provider. It offers integrated outsourcing solutions to a diversified customer base comprising global companies. The Company operates through two segments: Mechatronics and Integrated Manufacturing Services (IMS). The Mechatronics segment is engaged in the design and manufacture of complex electro-mechanical assemblies and automation systems for original equipment manufacturers. The Company's IMS segment is engaged in providing integrated solution to manufacture plastic components (including design and fabrication of mold) and printed circuit board assemblies (PCBAs) for assembly into modules and finished products. The IMS segment also designs and manufactures oil filters. The IMS segment has various operating sites in Southeast Asia (Malaysia, Thailand, Singapore and Indonesia), China, India, Switzerland and the Netherlands.",Misc. Capital Goods,"{""Soon Chai Gooi"": ""Non-Executive Non-Independent Chairman of the Board"", ""Mohamad Anwar Au"": ""President, Executive Director"", ""Keng Yin Wong"": ""Executive Chairman and Founder of Juken Technology Ltd."", ""Lai Huat Wong"": ""Chief Executive Officer and Executive Director of Juken Technology Ltd"", ""Yean Choon Chin"": ""Vice President, Group Financial Controller""}"
217,FU YU CORPORATION LTD,https://www.reuters.com/companies/FUYU.SI,"Fu Yu Corporation Limited is engaged in the manufacturing and sub-assembly of precision plastic parts and components, as well as fabrication of precision molds and dies. The Company operates through three segments based on the location of assets, namely Singapore, Malaysia and China. The principal activities of the Company's subsidiaries consist of trading, provision of management services and investment holding. The markets it serves include the information technology, telecommunications, automotive, medical, electronic and electrical appliance, and water filtration in home appliance sectors. The Company has approximately 10 manufacturing plants in Singapore, Malaysia and China. Its subsidiaries include Chang Fu Resources Pte Ltd, Fu Yu Investment Pte Ltd, NanoTechnology Manufacturing Pte Ltd, SolidMicron Technologies Pte Ltd, Fu Yu Electronics (Dongguan) Co., Ltd., Fu Yu Moulding & Tooling (Dongguan) Co., Ltd. and Fu Yu Trading Limited, among others.",Chemicals - Plastics & Rubber,"{""Lien Lee Hew"": ""Chief Executive Officer, Chief Operating Officer, Executive Director"", ""Siew Fong Hee"": ""Chief Financial Officer"", ""Jun Hao Seow"": ""Executive Director"", ""Hui Yee Cheok"": ""Company Secretary"", ""Wei Fung Kong"": ""Company Secretary""}"
218,FUJI OFFSET PLATES MFG LTD,https://www.reuters.com/companies/FOPS.SI,"Fuji Offset Plates Manufacturing Ltd is a Singapore-based company engaged in the sale of aluminum offset plates, trading of related industrial chemicals for the printing industry, and investment holding. The Company's segments include Printing plates and cylinders, which is engaged in the manufacture and sale of aluminum offset plates and printing cylinders and trading of related industrial chemicals for the printing industry, and Investment holding. The Company's subsidiaries include Fuji Printing Cylinders Pte Ltd, which is engaged in trading in printing cylinders and its related products, and Fujiplates Manufacturing Sdn. Bhd., which is engaged in manufacturing and sale of offset printing plates and materials in printing industries and letting of properties. The Company also holds interest in Fuji Roto Gravure Sdn. Bhd. through Fuji Printing Cylinders Pte Ltd and interest in Fuji Offset Plates (M) Sdn Bhd. through Fujiplates Manufacturing Sdn. Bhd.",Misc. Capital Goods,"{""Kee Bock Teo"": ""Executive Chairman of the Board"", ""Kee Chong Teo"": ""Managing Director, Executive Director"", ""Lee Noi Kiar"": ""Company Secretary"", ""Keh Eyo Tan"": ""Lead Independent Director"", ""Beng Tin Low"": ""Non-Executive Director""}"
219,FULL APEX (HOLDINGS) LIMITED,https://www.reuters.com/companies/FULL.SI,"Full Apex (Holdings) Limited is an investment holding company engaged in manufacturing bottle-grade polyethylene terephthalate (PET) resin, PET preforms and PET bottles for carbonated beverages and corrugated paper packaging products. The Company operates through three segments: Paper packaging products, PET preforms and PET bottles, and PET resin. The Paper packaging products segment is engaged in manufacturing and distributing corrugated paper packaging products, such as cartons and die-cut boxes. The PET preforms and PET bottles segment manufactures and distributes PET preforms and PET bottles. The PET resin segment manufactures and distributes bottle grade PET resin. The Company operates approximately eight plants in Guangzhou, Qingdao, Tianjin, Shenzhen, Jiedong, Zhanjiang and Hangzhou, which are engaged in PET preforms and PET bottle production. It also operates a plant in Nanhai for the manufacture of corrugated paper packaging products.",Containers & Packaging,"{""Lingxiang Guan"": ""Executive Chairman of the Board, Managing Director"", ""Huiying Liang"": ""Executive Vice Chairman of the Board"", ""Haitao Guan"": ""Executive Director"", ""Meei Ying Kwok"": ""Company Secretary"", ""Siew Hoong Ng"": ""Company Secretary""}"
220,FUXING CHINA GROUP LIMITED,https://www.reuters.com/companies/FXCG.SI,"Fuxing China Group Limited is an investment holding company. The Company is a provider of zipper products. Its segments include the Zippers, Processing, Trading and Corporate. Zippers consist of zipper chains and zipper sliders. Processing represents color dyeing of fabric tapes for zippers, electroplating services for zipper sliders and manufacturing and sales of dyed yarn. The trading segment represents trading of raw materials, including rubber thread, nylon fabric and nylon yarn. The corporate segment is involved in Group-level corporate services and treasury functions. It caters to People's Republic of China (PRC) manufacturers of apparel and footwear products, camping equipment, bags, upholstery furnishings, trading companies, as well as other zipper manufacturers in the PRC which further process into customized zipper products.",Apparel/Accessories,"{""Qing Liang Hong"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Chor Lung Ma"": ""Chief Financial Officer"", ""Shao Lin Hong"": ""General Manager - Jinjiang FZ"", ""Peng You Hong"": ""Director - Administration, Executive Director"", ""Bao Long Huang"": ""Production Manager""}"
221,G. K. GOH HOLDINGS LIMITED,https://www.reuters.com/companies/GKHS.SI,"G. K. Goh Holdings Limited is a Singapore-based investment holding company. The Company operates through three segments: investment holding, corporate services and financial services. The Company, through its subsidiaries, is also engaged in corporate secretarial and shareholder services, accounting and payroll services, and futures and foreign exchange broking, among others. The Company's subsidiaries include Allium Holdings Pty Ltd, Allium Investments Pte Ltd, Ardisia Limited, Cacona Pte Ltd, Canistel Pte Ltd, G. K. Goh Strategic Holdings Pte Ltd, Perilla Pte Ltd, Salacca Pte Ltd, Saliendra Pte Ltd, Solanum Investment Pte Ltd, Boardroom Limited, Boardroom Corporate & Advisory Services Pte Ltd, Boardroom Business Solutions Pte Ltd, Boardroom Holdings Australia Pty Ltd, Boardroom Corporate Services (HK) Limited, Boardroom (Malaysia) Sdn Bhd, Boardroom China Holdings Pte Ltd and G. K. Goh Financial Services (S) Pte Ltd.",Investment Services,"{""Geok Khim Goh"": ""Executive Chairman of the Board"", ""Liang Huat Teo"": ""Chief Financial Officer, Executive Director"", ""Yew Lin Goh"": ""Managing Director, Executive Director"", ""May Ling Ngiam"": ""Company Secretary"", ""Teo Marie Elaine"": ""Non-Executive Independent Director""}"
222,GALLANT VENTURE LTD.,https://www.reuters.com/companies/GLVT.SI,"Gallant Venture Ltd. is an investment holding company. The Company's operational segments include Industrial parks segment, which is engaged in development, construction, operation and maintenance of industrial properties; Utilities segment, which is engaged in providing electricity and water supply, telecommunication services, waste management and sewage treatment services to the industrial parks, as well as resorts; the Resort operations segment is engaged in providing services to resort operators, including ferry terminal operations, workers accommodation, security, fire-fighting services and facilities; Property development segment, which is engaged in the activities of developing industrial and resort properties, and Automotive segment is engaged in activities of vehicle sales distribution, after sales services, vehicle ownership financing, spare part distribution, vehicle assembly, automotive parts manufacturing and other related supporting services.",Auto & Truck Manufacturers,"{""Hock San Lim"": ""Non-Executive Independent Chairman of the Board"", ""Eugene Cho Park"": ""Chief Executive Officer, Executive Director"", ""Kok Kiong Choo"": ""Chief Risk Officer, Executive Director, Company Secretary"", ""Gianto Gunara"": ""Executive Director"", ""Axton Salim"": ""Non-Executive Director""}"
223,GCCP RESOURCES LIMITED,https://www.reuters.com/companies/GCCP.SI,"GCCP Resources Limited is engaged in quarrying and processing of calcium carbonate. The Company quarries and processes limestone by crushing quarried limestone into varying particle sizes. It operates in the segment of quarrying, processing and sale of limestone. It owns calcium carbonate reserves of ground calcium carbonate grade (GCC grade) in Malaysia. It owns the GCCP Gridland Quarry and Hyper Act Quarry, which are located in Ipoh, in the state of Perak, through its subsidiaries, GCCP Gridland Sdn Bhd and Hyper Act Marketing Sdn Bhd. Gridland Quarry has a site area of approximately 20 acres, with a mining elevation between 50 meters and 240 meters. Hyper Act Quarry has a site area of approximately 60 acres, with a mining elevation between 100 meters and 400 meters. Its quarries hold approximately 190 million tons of precipitated calcium carbonate (PCC) and GCC-grade calcium carbonate resources and approximately 30 million tons of PCC and GCC-grade calcium carbonate reserves.",Construction - Raw Materials,"{""Thean Shiang Lim"": ""Non-Executive Independent Chairman of the Board"", ""An Swee Loo"": ""Chief Executive Officer, Executive Director"", ""Wooi Hong Loo"": ""Deputy Chief Executive Officer, Executive Director"", ""Chun Keh Wong"": ""Financial Controller"", ""Heng Kwai Loh"": ""Director of Operations (Gridland)""}"
224,GDS GLOBAL LIMITED,https://www.reuters.com/companies/GDSG.SI,"GDS Global Limited is an investment holding company. The Company is engaged in the manufacture and supply of door and shutter systems, and provision of service and maintenance works. It provides commercial and industrial door and shutter solutions in Singapore and the South East Asia region. Its geographical segments include Singapore, Middle East, European, Greater China and Others. Its products include industrial door systems, such as continuous sheet roller door, heavy duty roller shutter and insulated roller shutter; commercial door systems, such as continuous sheet roller door and crystal aluminum shutters, and fire-rated shutter/curtain systems, such as non-insulated fire shutter, thermally insulated fire shutter and fire-insulated roller shutter. It also offers hangar door systems and garage door systems. Its service and maintenance works include preventive and general maintenance; repair, replacement and overhaul of faulty components, and safety checks.",Constr. - Supplies & Fixtures,"{""Lok Yung Wong"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Lay Khim Lim"": ""Financial Controller"", ""Gina Lee"": ""Senior Manager - Corporate Affairs, Human Resource and Administration"", ""Chyan Leow"": ""Senior Manager - Technical"", ""Karen Lim"": ""Senior Manager - Operations""}"
225,GENTING SINGAPORE LIMITED,https://www.reuters.com/companies/GENS.SI,"Genting Singapore Ltd is an investment holding company. The Company, through its subsidiaries, is engaged in the development and operation of integrated resort, operation of casinos, provision of sales and marketing support services to leisure and hospitality related businesses and investments. It operates through leisure and hospitality operations segment within Singapore. The operations in other geographical areas in the Asia Pacific (excluding Singapore) include development of an integrated resort in Korea and other investments. It is engaged in the development and operation of integrated resorts, consisting of gaming; hospitality; meetings, incentives, conferences and exhibitions (MICE); leisure, and entertainment facilities. It owns Resorts World Sentosa in Singapore, a destination resort that offers a casino, Universal Studios Singapore theme park, Adventure Cove Waterpark, S.E.A. Aquarium, MICE facilities, hotels, Michelin-starred restaurants and specialty retail outlets.",Casinos & Gaming,"{""Kok Thay Lim"": ""Executive Chairman of the Board"", ""Hee Teck Tan"": ""President, Chief Operating Officer, Executive Director"", ""Shi Ruh Lee"": ""Chief Financial Officer"", ""Nanami Kasasaki"": ""Chief Corporate Officer"", ""Lan Hing Liew"": ""Company Secretary""}"
226,GEO ENERGY RESOURCES LIMITED,https://www.reuters.com/companies/GEOE.SI,"Geo Energy Resources Limited is an investment holding company, which operates as a coal producer and a mine contractor. The Company is an integrated coal mining company with operations in coal mines, coal production and selling coal. Its segments include Coal production, Coal trading, and Mining services and others. The Coal production segment is engaged in the sale of coal extracted from operating the Company's coal mines. The Coal trading segment is engaged in the purchase of coal from third parties with the intention to sell in the near future. Its Mining services and others segment is engaged in mining contracting and equipment rental services. It owns mining concessions in East and South Kalimantan. Its subsidiaries include Geo Coal International Pte. Ltd., which is engaged in Coal trading in Singapore; PT Geo Energy Coalindo, which is engaged in investment holding in Indonesia, and Borneo International Resources Pte. Ltd., which is engaged in investment holding in Singapore.",Coal,"{""Charles Antonny Melati"": ""Executive Chairman of the Board"", ""Kum Hon Tung"": ""Chief Executive Officer, Executive Director"", ""Sheng Hua Tan"": ""Chief Financial Officer"", ""Dhamma Surya"": ""Executive Director"", "".. Junanto"": ""Head - Marketing""}"
227,GHY CULTURE&MEDIA HLDG CO LTD,https://www.reuters.com/companies/GHY,"PGIM Global High Yield Fund, Inc. (the Fund), formerly PGIM Global Short Duration High Yield Fund, Inc., is a diversified closed-end management investment company. The Fund's investment objective is to provide a high level of current income by investing primarily in fixed income instruments of issuers located across the world, including emerging markets. It seeks to maintain a weighted average portfolio duration of three years or less and a weighted average maturity of five years or less. The Fund's portfolio of investments include long-term investments, such as building materials and construction, chemicals, media and entertainment, and mining; corporate bonds, such as telecommunications, airlines, agriculture and home builders, and short-term investment, such as affiliated mutual fund. PGIM Investments LLC is the manager of the Fund.",Misc. Financial Services,"{""Keith F. Hartstein"": ""Independent Chairman of the Board"", ""Stuart S. Parker"": ""President, Director"", ""Christian J. Kelly"": ""Principal Financial and Accounting Officer, Treasurer"", ""Dino Capasso"": ""Chief Compliance Officer"", ""Scott E. Benjamin"": ""Vice President, Director""}"
228,GKE CORPORATION LIMITED,https://www.reuters.com/companies/GKEC.SI,"GKE Corporation Limited is an integrated warehousing and logistics solutions provider offering door-to-door multi-modal solutions for supply chain management. The Company's segments include investment holding, third party logistics, shipping logistics and infrastructural logistics. The investment holding segment is involved in the Company-level corporate services and investment activities. The third party logistics segment provides logistics services, which include general warehousing, containers trucking, conventional transportation, projects logistics and international multimodal freight forwarding services. The shipping logistics segment is involved in building and chartering of vessels. The infrastructural logistics segment is involved in producing and manufacturing brick, building materials and cement products. It operates warehousing and logistics business under the brand name, GKE, providing logistics supply chain solutions and services.",Trucking,"{""Yong Hua Chen"": ""Executive Chairman of the Board"", ""Cheow Hui Neo"": ""Chief Executive Officer, Executive Director"", ""Wei Chye Chua"": ""Chief Financial Officer"", ""Hwee Hoon Chai"": ""Group General Manager, Managing Director - GKE Freight Pte Ltd, Managing Director - GKE Express Logistics Pte Ltd"", ""Wenhua A. Qian"": ""Executive Director""}"
229,GLOBAL DRAGON LIMITED,https://www.reuters.com/companies/DRGNol.SI,"Dragon Group International Limited is an investment holding company. The Company's three principal business activities include distribution of electronic components and test consumables undertaken by its subsidiary Spire Technologies Pte Ltd; supply of semiconductor equipment, materials and tooling, undertaken by its subsidiary Dragon Equipment and Materials Technology Limited; and Nanjing Dragon Treasure Boat Development Co., Ltd., a subsidiary that is involved in the construction of the Dragon Treasure Boat. The Company operates through two business segments: Electronics Distribution, and Technology Investments and Others. It acts as corporate manager and advisor in relation to the administration and organization of the businesses of its subsidiary companies. The Company's subsidiaries include DTB Limited (Hong Kong), Spire Technologies Pte Ltd (Singapore), Dragon Equipment & Materials Technology Ltd (Hong Kong), Nanjing DTB Development Co., Ltd and Spire Technologies (Taiwan) Ltd.",Electronic Instr. & Controls,"{""Ghee Chong Yeoh"": ""Acting Independent Non-Executive Chairman of the Board"", ""Boon Liat Lim"": ""President, Acting Chief Executive Officer, Group Administrative Officer, Executive Director"", ""Chung Wei Ho"": ""Company Secretary"", ""Mohd Sopiyan bin Mohd Rashdi"": ""Lead Independent Non-Executive Director"", ""Keung Yum Yu"": ""Non-Executive Independent Director""}"
230,GLOBAL INVACOM GROUP LIMITED,https://www.reuters.com/companies/GLOBbi.SI,"Global Invacom Group Limited is an investment holding company. The Company operates through two business segments: Satellite Communications (Sat Comms) and Contract Manufacturing (CM). The Sat Comms segment is engaged in the development, design and manufacture of products for the satellite television market, including products, such as satellite dishes, low noise blocks, multi-switches, band and channel stackers, and fiber distribution equipment, to customers ranging from broadcasters, building and electrical contractors, satellite installers and mobile system integrators. The CM operates contract manufacturing facility in China, which focuses on third-party printed circuit board (PCB) assembly, logistics, and module assembly and testing. It provides a range of dish antennas, low noise block receivers, transmitters, switches, video distribution components and electronics manufacturing services in the Sat Comms and computer peripherals, medical and consumer electronics industries.",Communications Equipment,"{""Anthony Brian Taylor"": ""Executive Chairman of the Board"", ""Gordon Blaikie"": ""Chief Operating Officer, Executive Director"", ""Derek Grice"": ""Chief Technology Officer"", ""Malcolm John Burrell"": ""Chief Risk Officer"", ""Pei Fern Wong"": ""Group Financial Controller""}"
231,GLOBAL INVESTMENTS LIMITED,https://www.reuters.com/companies/GLNV.SI,"Global Investments Limited is a Singapore-based mutual fund company. The Company's investment strategies are to make investments in a portfolio of assets in different sectors through different means, which include direct asset ownership, swaps, credit default swaps, debts, warrants, options, convertibles, preference shares, equity, guarantees of assets and performance, securities lending and participating loan agreements. Its segments are operating lease assets, loan portfolio and securitization assets, listed equities and bonds. The Company invests in a range of sectors, including aerospace and defense, consumer products, media and publishing, oil and gas, utilities, construction and homebuilding, logistics, real estate, finance related and telecommunications. ST Asset Management Ltd. (STAM) is the manager of the Company.",Misc. Financial Services,NOT FOUND
232,GLOBAL PALM RESOURCES HLGS LTD,https://www.reuters.com/companies/GPRL.SI,"Global Palm Resources Holdings Limited (Global Palm Resources) is a Singapore-based oil palm producer. The Company is principally an investment holding company. The Company is engaged in the provision of management services. The Company operates through the plantation segment. The Company is involved in the cultivation, harvesting and processing of oil palm fruit into crude palm oil (CPO) and palm kernel for sale. Global Palm Resource's plantation and mill is located in West Kalimantan. The Company's subsidiary, Global Palm Resources Private Limited, is an investment holding company, which holds PT Prakarsa Tani Sejati. PT Prakarsa Tani Sejati is engaged in the manufacturing of plantation products (crude palm oil and palm kernels).",Food Processing,"{""Suparno Adijanto"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Yamin Luiyanto"": ""Chief Financial Officer"", ""Ivan Swandono"": ""Chief Operating Officer"", ""Swandono Ivan"": ""Executive Director"", ""Ardi Dharma Lim"": ""Head - Project Development""}"
233,GLOBAL TESTING CORPORATION LTD,https://www.reuters.com/companies/GTCLol.SI,"Global Testing Corporation Limited is a Taiwan-based investment holding company. The Company is engaged in the provision of testing services to customers in the semi-conductor industry segment. The Company provides testing services, such as wafer sorting and final testing, focusing on logic and mixed signal semiconductors used in consumer electronics and communication devices. As part of its testing services, it provides test program development, conversion and optimization services, load board and probe card design, and leases its testers to its customers for trial and pilot testing purposes on an ad hoc basis. It also helps its customers to convert single-site testing to multi-site testing to shorter their turn-around time. It provides various fixture designs for final test service, which include socket, lock, hange kit and load board components. It operates mainly in Taiwan, Republic of China. Its customers are located in Taiwan, Republic of China, the United States and Singapore.",Semiconductors,"{""Tie Min Pierre Chen"": ""Executive Chairman of the Board"", ""I-lung Hu"": ""Acting Chief Executive Officer"", ""Tsai-Wei Wang"": ""Chief Financial Officer, Vice President - Finance"", ""Tommy Lee"": ""Vice President - Operations"", ""Yi-Long Hu"": ""Vice President-Sales and Marketing""}"
234,GOLDEN AGRI-RESOURCES LTD,https://www.reuters.com/companies/GAGR.SI,"Golden Agri-Resources Ltd is a palm oil plantation company. The Company is engaged as an investment holding company. Its primary activities include cultivating and harvesting oil palm trees, processing fresh fruit bunches (FFB) into crude palm oil (CPO) and palm kernel (PK), refining CPO into industrial and consumer products, as well as merchandising palm products across the world. It operates through four segments: plantation and palm oil mills, palm and laurics, oilseeds and others. The plantation and palm oil mills segment consists of the products from upstream business. The palm and laurics segment consists of the processing and merchandising of palm-based products, such as bulk and branded, as well as oleo chemicals. The oilseeds segment consists of the processing and merchandising of oilseeds-based products, such as bulk and branded, and the others segment consists of the production and distribution of food and consumer products in China and Indonesia.",Food Processing,"{""Franky Oesman Widjaja"": ""Executive Non-Independent Chairman and Chief Executive Officer"", ""Muktar Widjaja"": ""Executive Non-Independent Director and President"", ""Rafael Buhay Concepcion"": ""Executive Non-Independent Director and Chief Financial Officer"", ""Chen Sau Hua"": ""Deputy Chief Financial Officer"", ""The Biao Ling"": ""Managing Director, Upstream Operations""}"
235,GOLDEN ENERGY AND RESOURCESLTD,https://www.reuters.com/companies/GOLD.SI,"Golden Energy and Resources Limited (GEAR), formerly United Fiber System Limited, is a Singapore-based company, which is engaged in the exploration, mining, marketing and trading of thermal coal. The Company sources thermal coal from its coal mining concession areas, covering an aggregate of approximately 66,204 hectares in South and Central Kalimantan, Jambi (a province in Sumatra), and South Sumatra Basin. GEAR has reserves of primarily thermal coal with an average calorific value range of between 2,835 kilocalories per kilogram (arb) to 6,829 kilocalories per kilogram (arb).",Coal,"{""Fuganto Widjaja"": ""Executive Chairman of the Board"", ""Prasetyo Suseno Dwi"": ""Chief Executive Officer, Executive Director"", ""You Chuan Mark Zhou"": ""Chief Investment Officer, Executive Director"", ""Pauline Lee"": ""Head of Internal Audit, Compliance and Group Company Secretary"", ""Mochtar Suhadi"": ""Executive Director""}"
236,GOODLAND GROUP LIMITED,https://www.reuters.com/companies/GLGPbi.SI,"Goodland Group Limited is a Singapore-based investment holding company. The Company is a property developer specializing in residential developments. The Company's segments include Property development, Construction and Property investment. The Company's property development segment is engaged in developing properties for sale. The Company's construction segment is engaged in constructing residential and commercial properties. The Company's property investment segment is engaged in investing in properties to earn rentals and for capital appreciation. The Company's geographical segments include Singapore, Malaysia and Others. The Company's projects include Poh Huat Road and 20 Windsor Park Road. The Company's subsidiaries include Goodland Ventures Pte. Ltd., Goodland Global Pte. Ltd., Goodland Assets Pte. Ltd., GLG Global Sdn. Bhd., Goodland Glory Pte. Ltd. and Goodland Harvest Pte. Ltd.",Construction Services,"{""Chee Beng Tan"": ""Executive Chairman of the Board"", ""Chee Tiong Alvin Tan"": ""Chief Executive Officer, Group Managing Director, Executive Director"", ""Swee Liang Hor"": ""Chief Financial Officer, Joint Company Secretary"", ""Bee Bee Melanie Tan"": ""Executive Director"", ""Mindy Tan"": ""Director - Property""}"
237,GP INDUSTRIES LIMITED,https://www.reuters.com/companies/GPEI.SI,"GP Industries Limited is an international manufacturing and marketing company in batteries and electronics industries. The Company is engaged in the development, manufacture and marketing of electronic and acoustic products. In addition, it manufactures automotive wire harness products. It operates through four segments: Electronics and acoustics, which designs, manufactures and sells professional audio products and KEF brand loudspeakers and related products; Automotive wire harness, which manufactures and sells automotive wire harness products; Batteries, which manufactures, develops and markets batteries and battery-related products, and Other industrial investments, which includes its non-core investments and assets, including available-for-sale financial assets and financial asset at fair value through profit or loss and its associates, Linkz Industries Limited and Meiloon Industrial Co., Ltd. It has manufacturing and distribution network spanning over approximately 10 countries.",Electronic Instr. & Controls,"{""Chung Wing Lo"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Hin Lap Lam"": ""Vice Chairman of the Board, Executive Vice President"", ""Wang Chak Law"": ""Chief Financial Officer, Executive Director"", ""Yiu Cheung Li"": ""Executive Vice President, Executive Director"", ""Siu Bun Cheung"": ""General Manager""}"
238,GRAND BANKS YACHTS LIMITED,https://www.reuters.com/companies/GBYL.SI,"Grand Banks Yachts Limited is an investment holding company. The Company, through its subsidiaries, is engaged in the business of manufacturing and selling luxury yachts around the world. It operates through manufacturing and trading segment, which is engaged in manufacturing and selling of yachts to end customers. It offers Aleutian Series, which includes 55RP and 72RP; Eastbay Series, which includes 44 SX and 50SX/FB, and Heritage series, which includes 43EU and 54EU. It also offers hardware and other accessories used in the production of its yachts. It offers hardware, which include interior, such as ball catch, door hook, shower accessories, seal, gasket and door hook; hinges, such as brass hinge, chrome hinge, counter hinge, small locker hinge and detachable hinge, and exterior, such as chrome handle, cleat, hatch, shell clamp, swim ladder, window and step plate. The Company also offers lockset and kroon key. Its electrical accessories include light, electrical and switch.",Recreational Products,"{""Heine Askaer-Jensen"": ""Independent Non-Executive Chairman of the Board"", ""Mark Jonathon Richards"": ""Chief Executive Officer"", ""Heng Huat Chiam"": ""Chief Financial Officer"", ""Roy Peter Ditmarsch"": ""Chief Business Officer"", ""Ching Chua Ler"": ""Company Secretary""}"
239,GRAND VENTURE TECHNOLOGY LTD,https://www.reuters.com/companies/GRAN.SI,"Grand Venture Technology Ltd is a Singapore-based manufacturer of precision machining, sheet metal components and modular assembly. The Company offers manufacturing solutions for machining, sheet metal components and assembly of modules. Its services include computer numerical control (CNC) machining, precision sheet metal products, precision structures and value-added assembly. Its precision machining services include CNC vertical milling, CNC horizontal milling, CNC tuning, CNC vertical turning and surface finishing. Its sheet metal fabrication services include CNC laser cutting and CNC press brake bending. Its assembly services include mechanical assembly, supply chain management, project management and change management.",Misc. Fabricated Products,NOT FOUND
